cod_ibge,nome_municipio,drs,rgi_codigo,rgi_nome,lat,lon
3500105,Adamantina,IX - Marília,3505,Presidente Prudente,-21.576633521718765,-51.05678629422682
3500204,Adolfo,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.288728540134578,-49.65322915460017
3500303,Aguaí,XIV - São João da Boa Vista,3510,Campinas,-22.049945819784824,-47.040318926470334
3500402,Águas Da Prata,XIV - São João da Boa Vista,3510,Campinas,-21.913661182276343,-46.69172860263326
3500501,Águas De Lindóia,VII - Campinas,3510,Campinas,-22.47480039030813,-46.603716504762716
3500550,Águas De Santa Bárbara,VI - Bauru,3502,Sorocaba,-22.85787699185322,-49.26109821787535
3500600,Águas De São Pedro,X - Piracicaba,3510,Campinas,-22.598776317773847,-47.87599272474452
3500709,Agudos,VI - Bauru,3503,Bauru,-22.571924956518146,-49.108747769293025
3500758,Alambari,XVI - Sorocaba,3502,Sorocaba,-23.548959512829782,-47.869074075460325
3500808,Alfredo Marcondes,XI - Presidente Prudente,3505,Presidente Prudente,-21.934948997356067,-51.39558847002061
3500907,Altair,V - Barretos,3507,São José do Rio Preto,-20.53339457784608,-49.093850199083505
3501004,Altinópolis,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.01806882131961,-47.38617344368879
3501103,Alto Alegre,II - Araçatuba,3506,Araçatuba,-21.61259882350608,-50.19209409558978
3501152,Alumínio,XVI - Sorocaba,3502,Sorocaba,-23.533095131121677,-47.281244019747085
3501202,Álvares Florence,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.28946952506541,-49.92024216671607
3501301,Álvares Machado,XI - Presidente Prudente,3505,Presidente Prudente,-22.131324543632818,-51.51474415805452
3501400,Álvaro De Carvalho,IX - Marília,3504,Marília,-22.086594125689615,-49.73400650621288
3501509,Alvinlândia,IX - Marília,3504,Marília,-22.45255622390126,-49.758574369590164
3501608,Americana,VII - Campinas,3510,Campinas,-22.723396720283365,-47.28908448863861
3501707,Américo Brasiliense,III - Araraquara,3509,Araraquara,-21.7222102164504,-48.03226655666531
3501806,Américo De Campos,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.289488574943935,-49.76805662168121
3501905,Amparo,VII - Campinas,3510,Campinas,-22.6990938580499,-46.79871193118232
3502002,Analândia,X - Piracicaba,3510,Campinas,-22.12107282606664,-47.67795355634307
3502101,Andradina,II - Araçatuba,3506,Araçatuba,-20.83561887124683,-51.32974528424826
3502200,Angatuba,XVI - Sorocaba,3502,Sorocaba,-23.43685638791677,-48.459288717644995
3502309,Anhembi,VI - Bauru,3503,Bauru,-22.800040792994654,-48.174660213301216
3502408,Anhumas,XI - Presidente Prudente,3505,Presidente Prudente,-22.362007723326805,-51.42775583705343
3502507,Aparecida,XVII - Taubaté,3511,São José dos Campos,-22.914122862439456,-45.237229193403856
3502606,Aparecida D'oeste,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.478898056493346,-50.92202854011427
3502705,Apiaí,XVI - Sorocaba,3502,Sorocaba,-24.421463884931143,-48.81735220787317
3502754,Araçariguama,XVI - Sorocaba,3502,Sorocaba,-23.43445969900219,-47.072383132477185
3502804,Araçatuba,II - Araçatuba,3506,Araçatuba,-21.113764710623762,-50.57454569465348
3502903,Araçoiaba Da Serra,XVI - Sorocaba,3502,Sorocaba,-23.543885374525487,-47.65151167647545
3503000,Aramina,VIII - Franca,3508,Ribeirão Preto,-20.144872549966042,-47.82063215663559
